HEADER.PURCHASEORDERID,PURCHASEORDERITEM,PRODUCT.PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY,QUANTITYUNIT,DELIVERYDATE
300000027,10,HT-2025,,EUR,160.61,134.97,25.64,3,EA,2015-01-11
300000027,20,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-03-05
300000028,10,HT-1106,,MXN,121.38,102,19.38,3,EA,2015-05-14
300000028,20,HT-1601,,MXN,3213,2700,513,3,EA,2015-05-23
300000029,10,HT-1007,,USD,1187.62,998,189.62,2,EA,2014-12-07
300000029,20,HT-1102,,USD,82.11,69,13.11,1,EA,2015-12-22
300000030,10,HT-1603,,JPY,2023,1700,323,1,EA,2015-06-03
300000030,20,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-03-15
300000031,10,HT-1007,,USD,1781.43,1497,284.43,3,EA,2015-05-23
300000031,20,HT-1102,,USD,82.11,69,13.11,1,EA,2014-12-24
300000032,10,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-09-20
300000032,20,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-09-08
300000033,10,HT-1600,,ARS,1428,1200,228,2,EA,2015-08-18
300000033,20,HT-1022,,ARS,487.9,410,77.9,2,EA,2015-07-23
300000034,10,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-11-13
300000034,20,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-11-02
300000035,10,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-10-03
300000035,20,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-09-11
300000036,10,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-02-28
300000036,20,HT-1101,,EUR,285.24,239.7,45.54,3,EA,2014-12-07
300000037,10,HT-1103,,EUR,183.26,154,29.26,2,EA,2014-12-13
300000037,20,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-07-01
300000038,10,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-08-18
300000038,20,HT-1603,,JPY,6069,5100,969,3,EA,2015-01-09
300000039,10,HT-1603,,JPY,2023,1700,323,1,EA,2015-10-15
300000039,20,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-10-05
300000040,10,HT-1601,,MXN,3213,2700,513,3,EA,2015-10-12
300000040,20,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-05-23
300000041,10,HT-2001,,USD,1070.98,899.98,171,2,EA,2015-03-30
300000041,20,HT-1007,,USD,593.81,499,94.81,1,EA,2015-09-22
300000042,10,HT-2026,,USD,35.69,29.99,5.7,1,EA,2015-03-24
300000042,20,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-07-21
300000043,10,HT-1103,,EUR,274.89,231,43.89,3,EA,2015-01-06
300000043,20,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-01-24
300000044,10,HT-1600,,ARS,2142,1800,342,3,EA,2015-05-19
300000044,20,HT-1022,,ARS,243.95,205,38.95,1,EA,2015-10-07
300000045,10,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-07-17
300000045,20,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-10-31
300000046,10,HT-1100,,USD,213.96,179.8,34.16,2,EA,2015-12-02
300000046,20,HT-2026,,USD,35.69,29.99,5.7,1,EA,2015-09-28
300000047,10,HT-1106,,MXN,121.38,102,19.38,3,EA,2015-09-16
300000047,20,HT-1601,,MXN,3213,2700,513,3,EA,2015-08-23
300000048,10,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2015-04-30
300000048,20,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-10-15
300000049,10,HT-1103,,EUR,274.89,231,43.89,3,EA,2015-02-26
300000049,20,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-07-31
300000050,10,HT-1061,,EUR,8.33,7,1.33,1,EA,2015-05-02
300000050,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-01-09
300000051,10,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-09-10
300000051,20,HT-1502,,EUR,29750,25000,4750,1,EA,2014-12-23
300000052,10,HT-1052,,EUR,606.9,510,96.9,3,EA,2015-10-19
300000052,20,HT-1210,,EUR,2854.81,2399,455.81,1,EA,2015-06-24
300000053,10,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-02-02
300000053,20,HT-1501,,JPY,53550,45000,8550,3,EA,2015-07-14
300000054,10,HT-1501,,JPY,35700,30000,5700,2,EA,2015-01-19
300000054,20,HT-1056,,JPY,141.61,119,22.61,1,EA,2015-10-06
300000055,10,HT-1051,,USD,117.81,99,18.81,1,EA,2015-05-18
300000055,20,HT-1138,,USD,2882.18,2422,460.18,2,EA,2015-01-01
300000056,10,HT-1500,,EUR,17850,15000,2850,3,EA,2015-03-30
300000056,20,HT-1055,,EUR,117.81,99,18.81,1,EA,2015-02-28
300000057,10,HT-1042,,EUR,830.62,698,132.62,2,EA,2015-05-04
300000057,20,HT-1120,,EUR,928.2,780,148.2,3,EA,2015-11-09
300000058,10,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-12-27
300000058,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-10-24
300000059,10,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-03-02
300000059,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-10-25
300000060,10,HT-1502,,EUR,59500,50000,9500,2,EA,2015-05-31
300000060,20,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-10-23
300000061,10,HT-1042,,EUR,415.31,349,66.31,1,EA,2015-07-24
300000061,20,HT-1120,,EUR,928.2,780,148.2,3,EA,2015-02-25
300000062,10,HT-1052,,EUR,404.6,340,64.6,2,EA,2015-05-31
300000062,20,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2015-07-17
300000063,10,HT-1501,,JPY,17850,15000,2850,1,EA,2015-06-28
300000063,20,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-08-11
300000064,10,HT-1056,,JPY,141.61,119,22.61,1,EA,2015-07-08
300000064,20,HT-1501,,JPY,35700,30000,5700,2,EA,2015-11-07
300000065,10,HT-1051,,USD,353.43,297,56.43,3,EA,2015-03-11
300000065,20,HT-1138,,USD,2882.18,2422,460.18,2,EA,2015-04-07
300000066,10,HT-1120,,EUR,618.8,520,98.8,2,EA,2015-02-16
300000066,20,HT-1042,,EUR,415.31,349,66.31,1,EA,2015-05-01
300000067,10,HT-1052,,EUR,202.3,170,32.3,1,EA,2015-05-02
300000067,20,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2015-04-30
300000068,10,HT-1060,,EUR,32.13,27,5.13,3,EA,2015-12-31
300000068,20,HT-1502,,EUR,89250,75000,14250,3,EA,2015-10-27
300000069,10,HT-1061,,EUR,24.99,21,3.99,3,EA,2015-02-10
300000069,20,HT-6130,,EUR,1736.21,1459,277.21,1,EA,2015-05-30
300000070,10,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-08-26
300000070,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-05-01
300000071,10,HT-1502,,EUR,59500,50000,9500,2,EA,2015-08-12
300000071,20,HT-1060,,EUR,10.71,9,1.71,1,EA,2015-03-24
300000072,10,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-03-08
300000072,20,HT-1501,,JPY,53550,45000,8550,3,EA,2015-10-09
300000073,10,HT-1051,,USD,353.43,297,56.43,3,EA,2015-10-06
300000073,20,HT-1138,,USD,4323.27,3633,690.27,3,EA,2015-03-14
300000074,10,HT-1052,,EUR,606.9,510,96.9,3,EA,2015-12-31
300000074,20,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2015-06-24
300000075,10,HT-1500,,EUR,5950,5000,950,1,EA,2014-12-14
300000075,20,HT-1055,,EUR,235.62,198,37.62,2,EA,2015-12-30
300000076,10,HT-1500,,EUR,11900,10000,1900,2,EA,2015-02-17
300000076,20,HT-1055,,EUR,117.81,99,18.81,1,EA,2015-11-15
300000077,10,HT-1500,,EUR,17850,15000,2850,3,EA,2015-10-31
300000077,20,HT-1055,,EUR,117.81,99,18.81,1,EA,2015-01-23
300000078,10,HT-1138,,USD,4323.27,3633,690.27,3,EA,2015-02-24
300000078,20,HT-1051,,USD,353.43,297,56.43,3,EA,2015-11-05
300000079,10,HT-1042,,EUR,830.62,698,132.62,2,EA,2015-09-16
300000079,20,HT-1120,,EUR,309.4,260,49.4,1,EA,2015-07-30
300000080,10,HT-1501,,JPY,17850,15000,2850,1,EA,2015-05-20
300000080,20,HT-1056,,JPY,283.22,238,45.22,2,EA,2015-10-25
300000081,10,HT-1042,,EUR,1245.93,1047,198.93,3,EA,2015-10-27
300000081,20,HT-1120,,EUR,309.4,260,49.4,1,EA,2015-07-16
300000082,10,HT-1501,,JPY,35700,30000,5700,2,EA,2015-05-17
300000082,20,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-02-10
300000083,10,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-11-27
300000083,20,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-10-23
300000084,10,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-07-30
300000084,20,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-04-12
300000085,10,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-01-24
300000085,20,HT-1502,,EUR,59500,50000,9500,2,EA,2015-06-27
300000086,10,HT-1500,,EUR,5950,5000,950,1,EA,2015-03-25
300000086,20,HT-1055,,EUR,353.43,297,56.43,3,EA,2015-04-14
300000087,10,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2015-06-15
300000087,20,HT-1052,,EUR,404.6,340,64.6,2,EA,2015-04-25
300000088,10,HT-1056,,JPY,141.61,119,22.61,1,EA,2015-11-08
300000088,20,HT-1501,,JPY,53550,45000,8550,3,EA,2015-05-13
300000089,10,HT-1501,,JPY,17850,15000,2850,1,EA,2015-09-14
300000089,20,HT-1056,,JPY,283.22,238,45.22,2,EA,2015-06-21
300000090,10,HT-1138,,USD,4323.27,3633,690.27,3,EA,2015-10-10
300000090,20,HT-1051,,USD,235.62,198,37.62,2,EA,2015-11-21
300000091,10,HT-1042,,EUR,830.62,698,132.62,2,EA,2015-11-17
300000091,20,HT-1120,,EUR,309.4,260,49.4,1,EA,2015-06-05
300000092,10,HT-1502,,EUR,29750,25000,4750,1,EA,2015-08-21
300000092,20,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-06-26
300000093,10,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2015-06-17
300000093,20,HT-1052,,EUR,606.9,510,96.9,3,EA,2015-08-23
300000094,10,HT-6130,,EUR,5208.63,4377,831.63,3,EA,2015-06-01
300000094,20,HT-1061,,EUR,8.33,7,1.33,1,EA,2014-12-29
300000095,10,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-06-17
300000095,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2014-12-30
300000096,10,HT-1502,,EUR,59500,50000,9500,2,EA,2015-07-29
300000096,20,HT-1060,,EUR,10.71,9,1.71,1,EA,2015-02-27
300000097,10,HT-1051,,USD,353.43,297,56.43,3,EA,2015-04-11
300000097,20,HT-1138,,USD,4323.27,3633,690.27,3,EA,2015-10-09
300000098,10,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-08-09
300000098,20,HT-1501,,JPY,53550,45000,8550,3,EA,2015-04-10
300000099,10,HT-1052,,EUR,606.9,510,96.9,3,EA,2015-06-18
300000099,20,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2015-03-18
300000100,10,HT-8001,,GBP,1188.81,999,189.81,1,EA,2014-12-19
300000100,20,HT-1031,,GBP,678.3,570,108.3,2,EA,2015-08-04
300000101,10,HT-1030,,EUR,547.4,460,87.4,2,EA,2015-01-28
300000101,20,HT-1111,,EUR,8.21,6.9,1.31,1,EA,2015-06-05
300000102,10,HT-1115,,CAD,149.94,126,23.94,3,EA,2015-06-01
300000102,20,AD-1000,,CAD,0,0,0,1,EA,2015-04-24
300000103,10,HT-1032,,EUR,1231.65,1035,196.65,3,EA,2015-05-13
300000103,20,HT-1113,,EUR,8.21,6.9,1.31,3,EA,2014-12-05
300000104,10,HT-8002,,EUR,2853.62,2398,455.62,2,EA,2015-07-19
300000104,20,HT-1032,,EUR,410.55,345,65.55,1,EA,2015-09-20
300000105,10,HT-1114,,USD,82.11,69,13.11,1,EA,2015-04-03
300000105,20,HT-8003,,USD,3303.44,2776,527.44,2,EA,2015-05-07
300000106,10,HT-1037,,MXN,5105.1,4290,815.1,3,EA,2015-08-29
300000106,20,HT-1116,,MXN,42.84,36,6.84,1,EA,2015-06-30
300000107,10,HT-1117,,EUR,90.44,76,14.44,2,EA,2015-10-16
300000107,20,HT-1040,,EUR,2963.1,2490,473.1,3,EA,2015-03-11
300000108,10,HT-1118,,ARS,188.02,158,30.02,2,EA,2015-07-11
300000108,20,HT-1041,,ARS,1166.2,980,186.2,2,EA,2015-12-06
300000109,10,HT-1112,,GBP,92.82,78,14.82,2,EA,2015-09-07
300000109,20,HT-8001,,GBP,2377.62,1998,379.62,2,EA,2015-05-18
300000110,10,HT-1111,,EUR,16.42,13.8,2.62,2,EA,2015-07-20
300000110,20,HT-8000,,EUR,1901.62,1598,303.62,2,EA,2015-12-19
300000111,10,HT-1040,,EUR,987.7,830,157.7,1,EA,2015-05-22
300000111,20,HT-1117,,EUR,135.66,114,21.66,3,EA,2015-12-14
300000112,10,AD-1000,,CAD,0,0,0,2,EA,2015-11-08
300000112,20,HT-1036,,CAD,1023.4,860,163.4,2,EA,2015-03-03
300000113,10,HT-8002,,EUR,1426.81,1199,227.81,1,EA,2015-05-26
300000113,20,HT-1032,,EUR,1231.65,1035,196.65,3,EA,2015-05-06
300000114,10,HT-1032,,EUR,410.55,345,65.55,1,EA,2015-03-30
300000114,20,HT-1113,,EUR,5.47,4.6,0.87,2,EA,2015-08-07
300000115,10,HT-1035,,USD,1424.43,1197,227.43,3,EA,2015-07-20
300000115,20,HT-1114,,USD,164.22,138,26.22,2,EA,2015-12-11
300000116,10,HT-1040,,EUR,1975.4,1660,315.4,2,EA,2015-12-18
300000116,20,HT-1117,,EUR,45.22,38,7.22,1,EA,2015-08-02
300000117,10,HT-1115,,CAD,49.98,42,7.98,1,EA,2015-10-28
300000117,20,AD-1000,,CAD,0,0,0,2,EA,2015-11-19
300000118,10,HT-1030,,EUR,821.1,690,131.1,3,EA,2015-08-30
300000118,20,HT-1111,,EUR,24.63,20.7,3.93,3,EA,2015-02-26
300000119,10,HT-1118,,ARS,282.03,237,45.03,3,EA,2015-08-17
300000119,20,HT-1041,,ARS,583.1,490,93.1,1,EA,2015-02-18
300000120,10,HT-1112,,GBP,92.82,78,14.82,2,EA,2015-11-08
300000120,20,HT-8001,,GBP,2377.62,1998,379.62,2,EA,2015-10-04
300000121,10,HT-1111,,EUR,16.42,13.8,2.62,2,EA,2015-03-28
300000121,20,HT-8000,,EUR,950.81,799,151.81,1,EA,2015-05-17
300000122,10,HT-1113,,EUR,8.21,6.9,1.31,3,EA,2015-06-10
300000122,20,HT-8002,,EUR,4280.43,3597,683.43,3,EA,2015-05-07
300000123,10,HT-1035,,USD,1424.43,1197,227.43,3,EA,2015-06-29
300000123,20,HT-1114,,USD,246.33,207,39.33,3,EA,2015-11-24
300000124,10,HT-1115,,CAD,149.94,126,23.94,3,EA,2015-08-28
300000124,20,AD-1000,,CAD,0,0,0,3,EA,2015-06-16
300000125,10,HT-1037,,MXN,1701.7,1430,271.7,1,EA,2015-04-29
300000125,20,HT-1116,,MXN,85.68,72,13.68,2,EA,2015-11-11
300000126,10,HT-1037,,MXN,3403.4,2860,543.4,2,EA,2015-10-01
300000126,20,HT-1116,,MXN,42.84,36,6.84,1,EA,2015-03-06
300000127,10,HT-1037,,MXN,5105.1,4290,815.1,3,EA,2015-12-15
300000127,20,HT-1116,,MXN,42.84,36,6.84,1,EA,2015-07-08
300000128,10,HT-8003,,USD,4955.16,4164,791.16,3,EA,2015-06-22
300000128,20,HT-1035,,USD,1424.43,1197,227.43,3,EA,2015-01-04
300000129,10,HT-1117,,EUR,90.44,76,14.44,2,EA,2015-12-27
300000129,20,HT-1040,,EUR,987.7,830,157.7,1,EA,2015-06-13
300000130,10,HT-8002,,EUR,1426.81,1199,227.81,1,EA,2015-11-24
300000130,20,HT-1032,,EUR,821.1,690,131.1,2,EA,2015-07-04
300000131,10,HT-1040,,EUR,2963.1,2490,473.1,3,EA,2015-12-03
300000131,20,HT-1117,,EUR,45.22,38,7.22,1,EA,2015-09-24
300000132,10,HT-1113,,EUR,5.47,4.6,0.87,2,EA,2015-11-13
300000132,20,HT-8002,,EUR,4280.43,3597,683.43,3,EA,2015-01-21
300000133,10,HT-1041,,ARS,1166.2,980,186.2,2,EA,2015-01-13
300000133,20,HT-1118,,ARS,188.02,158,30.02,2,EA,2015-06-01
300000134,10,HT-8001,,GBP,2377.62,1998,379.62,2,EA,2015-12-31
300000134,20,HT-1031,,GBP,678.3,570,108.3,2,EA,2015-10-13
300000135,10,HT-8000,,EUR,1901.62,1598,303.62,2,EA,2015-03-26
300000135,20,HT-1030,,EUR,547.4,460,87.4,2,EA,2015-08-09
300000136,10,HT-1037,,MXN,1701.7,1430,271.7,1,EA,2015-08-10
300000136,20,HT-1116,,MXN,128.52,108,20.52,3,EA,2015-07-17
300000137,10,AD-1000,,CAD,0,0,0,2,EA,2015-09-24
300000137,20,HT-1036,,CAD,1023.4,860,163.4,2,EA,2015-10-16
300000138,10,HT-8002,,EUR,1426.81,1199,227.81,1,EA,2015-11-30
300000138,20,HT-1032,,EUR,1231.65,1035,196.65,3,EA,2015-11-13
300000139,10,HT-1032,,EUR,410.55,345,65.55,1,EA,2015-10-24
300000139,20,HT-1113,,EUR,5.47,4.6,0.87,2,EA,2015-04-02
300000140,10,HT-1035,,USD,1424.43,1197,227.43,3,EA,2014-12-27
300000140,20,HT-1114,,USD,164.22,138,26.22,2,EA,2015-05-27
300000141,10,HT-1040,,EUR,1975.4,1660,315.4,2,EA,2015-07-13
300000141,20,HT-1117,,EUR,45.22,38,7.22,1,EA,2015-08-30
300000142,10,HT-1111,,EUR,8.21,6.9,1.31,1,EA,2015-02-03
300000142,20,HT-8000,,EUR,1901.62,1598,303.62,2,EA,2015-10-10
300000143,10,HT-1036,,CAD,1535.1,1290,245.1,3,EA,2015-06-12
300000143,20,HT-1115,,CAD,149.94,126,23.94,3,EA,2015-04-27
300000144,10,HT-1118,,ARS,282.03,237,45.03,3,EA,2015-10-08
300000144,20,HT-1041,,ARS,583.1,490,93.1,1,EA,2015-05-08
300000145,10,HT-8001,,GBP,2377.62,1998,379.62,2,EA,2015-05-27
300000145,20,HT-1031,,GBP,678.3,570,108.3,2,EA,2015-05-08
300000146,10,HT-8000,,EUR,1901.62,1598,303.62,2,EA,2015-08-10
300000146,20,HT-1030,,EUR,273.7,230,43.7,1,EA,2015-10-19
300000147,10,HT-8003,,USD,4955.16,4164,791.16,3,EA,2015-07-28
300000147,20,HT-1035,,USD,1424.43,1197,227.43,3,EA,2015-01-05
300000148,10,HT-1113,,EUR,8.21,6.9,1.31,3,EA,2015-05-28
300000148,20,HT-8002,,EUR,4280.43,3597,683.43,3,EA,2014-12-18
300000149,10,AD-1000,,CAD,0,0,0,3,EA,2015-11-24
300000149,20,HT-1036,,CAD,1535.1,1290,245.1,3,EA,2015-07-13
300000150,10,HT-6132,,BRL,1069.81,899,170.81,1,EA,2015-12-26
300000150,20,HT-1063,,BRL,33.32,28,5.32,2,EA,2015-07-02
300000151,10,HT-7020,,CHF,3546.2,2980,566.2,2,EA,2015-06-20
300000151,20,HT-1065,,CHF,30.94,26,4.94,1,EA,2015-02-22
300000152,10,HT-7010,,USD,2852.43,2397,455.43,3,EA,2015-06-07
300000152,20,HT-1066,,USD,2.98,2.5,0.48,1,EA,2015-04-08
300000153,10,HT-7000,,EUR,1959.93,1647,312.93,3,EA,2015-02-14
300000153,20,HT-1067,,EUR,12.5,10.5,2,3,EA,2015-11-17
300000154,10,HT-1067,,EUR,8.33,7,1.33,2,EA,2015-09-26
300000154,20,HT-7000,,EUR,653.31,549,104.31,1,EA,2015-11-03
300000155,10,HT-1095,,USD,190.4,160,30.4,1,EA,2015-04-04
300000155,20,HT-1068,,USD,8.33,7,1.33,2,EA,2015-10-25
300000156,10,HT-1069,,JPY,2856,2400,456,3,EA,2015-02-22
300000156,20,HT-1096,,JPY,142.8,120,22.8,1,EA,2015-11-22
300000157,10,HT-1097,,ARS,133.28,112,21.28,2,EA,2015-07-12
300000157,20,HT-1070,,ARS,253.11,212.7,40.41,3,EA,2014-12-24
300000158,10,HT-6131,,ARS,2853.62,2398,455.62,2,EA,2015-01-28
300000158,20,HT-1062,,ARS,26.18,22,4.18,2,EA,2015-12-07
300000159,10,HT-6132,,BRL,2139.62,1798,341.62,2,EA,2015-07-28
300000159,20,HT-1063,,BRL,33.32,28,5.32,2,EA,2015-06-23
300000160,10,HT-1065,,CHF,61.88,52,9.88,2,EA,2015-05-11
300000160,20,HT-7020,,CHF,3546.2,2980,566.2,2,EA,2015-02-10
300000161,10,HT-1097,,ARS,66.64,56,10.64,1,EA,2015-11-12
300000161,20,HT-1070,,ARS,253.11,212.7,40.41,3,EA,2015-08-26
300000162,10,HT-7010,,USD,1901.62,1598,303.62,2,EA,2015-08-09
300000162,20,HT-1066,,USD,5.95,5,0.95,2,EA,2014-12-20
300000163,10,HT-1067,,EUR,4.17,3.5,0.67,1,EA,2015-06-10
300000163,20,HT-7000,,EUR,1959.93,1647,312.93,3,EA,2015-09-26
300000164,10,HT-7000,,EUR,653.31,549,104.31,1,EA,2015-06-11
300000164,20,HT-1067,,EUR,8.33,7,1.33,2,EA,2015-12-21
300000165,10,HT-1095,,USD,571.2,480,91.2,3,EA,2014-12-11
300000165,20,HT-1068,,USD,8.33,7,1.33,2,EA,2015-07-25
300000166,10,HT-1070,,ARS,168.74,141.8,26.94,2,EA,2015-08-27
300000166,20,HT-1097,,ARS,66.64,56,10.64,1,EA,2015-07-24
300000167,10,HT-7010,,USD,950.81,799,151.81,1,EA,2015-10-30
300000167,20,HT-1066,,USD,5.95,5,0.95,2,EA,2015-09-03
300000168,10,HT-7020,,CHF,5319.3,4470,849.3,3,EA,2015-01-13
300000168,20,HT-1065,,CHF,92.82,78,14.82,3,EA,2015-05-22
300000169,10,HT-6131,,ARS,4280.43,3597,683.43,3,EA,2015-07-16
300000169,20,HT-1062,,ARS,13.09,11,2.09,1,EA,2014-12-28
300000170,10,HT-6132,,BRL,2139.62,1798,341.62,2,EA,2015-11-02
300000170,20,HT-1063,,BRL,33.32,28,5.32,2,EA,2015-05-28
300000171,10,HT-1065,,CHF,61.88,52,9.88,2,EA,2015-06-16
300000171,20,HT-7020,,CHF,1773.1,1490,283.1,1,EA,2015-07-30
300000172,10,HT-7000,,EUR,1959.93,1647,312.93,3,EA,2015-07-16
300000172,20,HT-1067,,EUR,12.5,10.5,2,3,EA,2015-05-20
300000173,10,HT-1095,,USD,571.2,480,91.2,3,EA,2015-05-17
300000173,20,HT-1068,,USD,12.5,10.5,2,3,EA,2015-08-25
300000174,10,HT-7010,,USD,2852.43,2397,455.43,3,EA,2015-03-25
