HEADER.SALESORDERID,SALESORDERITEM,PRODUCT.PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,OPITEMPOS,QUANTITY,QUANTITYUNIT,DELIVERYDATE
500000087,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000087,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000088,10,HT-1070,,ARS,84.37,70.9,13.47,I,,1,EA,2015-12-04
500000088,20,HT-1071,,ZAR,291.67,245.1,46.57,I,,3,EA,2015-12-04
500000089,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000089,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000090,10,HT-1113,,EUR,8.21,6.9,1.31,I,,3,EA,2015-12-04
500000090,20,HT-1114,,USD,164.22,138,26.22,I,,2,EA,2015-12-04
500000091,10,HT-1117,,EUR,90.44,76,14.44,I,,2,EA,2015-12-04
500000091,20,HT-1118,,ARS,94.01,79,15.01,I,,1,EA,2015-12-04
500000092,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000092,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000093,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000093,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000094,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000094,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000095,10,HT-1210,,EUR,5709.62,4798,911.62,I,,2,EA,2015-12-04
500000095,20,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000096,10,HT-1063,,BRL,33.32,28,5.32,I,,2,EA,2015-12-04
500000096,20,HT-1064,,CAD,19.04,16,3.04,I,,1,EA,2015-12-04
500000097,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000097,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000098,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000098,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000099,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000099,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000100,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000100,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000101,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000101,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000102,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000102,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000103,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000103,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000104,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000104,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000105,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000105,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000106,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000106,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000107,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000107,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000108,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000108,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000109,10,HT-1040,,EUR,1975.4,1660,315.4,I,,2,EA,2015-12-04
500000109,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000110,10,HT-1070,,ARS,168.74,141.8,26.94,I,,2,EA,2015-12-04
500000110,20,HT-1071,,ZAR,194.45,163.4,31.05,I,,2,EA,2015-12-04
500000111,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000111,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000112,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000112,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000113,10,HT-1022,,ARS,243.95,205,38.95,I,,1,EA,2015-12-04
500000113,20,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000114,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000114,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000115,10,HT-1055,,EUR,353.43,297,56.43,I,,3,EA,2015-12-04
500000115,20,HT-1056,,JPY,283.22,238,45.22,I,,2,EA,2015-12-04
500000116,10,HT-1067,,EUR,8.33,7,1.33,I,,2,EA,2015-12-04
500000116,20,HT-1068,,USD,4.17,3.5,0.67,I,,1,EA,2015-12-04
500000117,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000117,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000118,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000118,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000119,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000119,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000120,10,HT-1082,,ARS,402.22,338,64.22,I,,2,EA,2015-12-04
500000120,20,HT-1083,,CNY,1237.6,1040,197.6,I,,2,EA,2015-12-04
500000121,10,HT-1113,,EUR,5.47,4.6,0.87,I,,2,EA,2015-12-04
500000121,20,HT-1114,,USD,82.11,69,13.11,I,,1,EA,2015-12-04
500000122,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000122,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000123,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000123,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000124,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000124,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000125,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000125,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000126,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000126,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000127,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000127,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000128,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000128,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000129,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000129,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000130,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000130,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000131,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000131,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000132,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000132,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000133,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000133,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000134,10,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000134,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000135,10,HT-1085,,DKK,3567.62,2998,569.62,I,,2,EA,2015-12-04
500000135,20,HT-1090,,EUR,92.82,78,14.82,I,,2,EA,2015-12-04
500000136,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000136,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000137,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000137,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000138,10,HT-1070,,ARS,84.37,70.9,13.47,I,,1,EA,2015-12-04
500000138,20,HT-1071,,ZAR,291.67,245.1,46.57,I,,3,EA,2015-12-04
500000139,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000139,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000140,10,HT-1113,,EUR,8.21,6.9,1.31,I,,3,EA,2015-12-04
500000140,20,HT-1114,,USD,164.22,138,26.22,I,,2,EA,2015-12-04
500000141,10,HT-1117,,EUR,90.44,76,14.44,I,,2,EA,2015-12-04
500000141,20,HT-1118,,ARS,94.01,79,15.01,I,,1,EA,2015-12-04
500000142,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000142,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000143,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000143,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000144,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000144,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000145,10,HT-1210,,EUR,5709.62,4798,911.62,I,,2,EA,2015-12-04
500000145,20,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000146,10,HT-1063,,BRL,33.32,28,5.32,I,,2,EA,2015-12-04
500000146,20,HT-1064,,CAD,19.04,16,3.04,I,,1,EA,2015-12-04
500000147,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000147,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000148,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000148,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000149,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000149,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000150,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000150,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000151,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000151,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000152,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000152,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000153,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000153,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000154,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000154,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000155,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000155,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000156,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000156,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000157,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000157,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000158,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000158,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000159,10,HT-1040,,EUR,1975.4,1660,315.4,I,,2,EA,2015-12-04
500000159,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000160,10,HT-1070,,ARS,168.74,141.8,26.94,I,,2,EA,2015-12-04
500000160,20,HT-1071,,ZAR,194.45,163.4,31.05,I,,2,EA,2015-12-04
