TEXTID,LANGUAGE,ISOLANGUAGE,TEXT
1000000036,E,en,Print 2400 dpi image quality color documents at speeds of up to 32 ppm¹ (color) or 36 ppm¹ (monochrome). letter/A4. Powerful 500 MHz processor. 512MB of memory
1000000037,E,en,Laser Basic
1000000038,E,en,Up to 22 ppm color or 24 ppm monochrome letter. powerful 500 MHz processor and 128MB of memory
1000000039,E,en,Laser Allround
1000000040,E,en,Print up to 25 ppm letter and 24 ppm A4 color or monochrome. with a first-page-out-time of less than 13 seconds for monochrome and less than 15 seconds for color
1000000041,E,en,Deskjet Super Color
1000000042,E,en,1200 dpi x 1200 dpi - up to 19 ppm (mono) / up to 18 ppm (colour) - capacity: 80 sheets - Hi-Speed USB. Ethernet
1000000043,E,en,Deskjet Mobile
1000000044,E,en,1000 dpi x 1000 dpi - up to 15 ppm (mono) / up to 13 ppm (colour) - capacity: 40 sheets - Hi-Speed USB - excellent dimesions for the small office
1000000045,E,en,Deskjet Super Highspeed
1000000046,E,en,1200 dpi x 1200 dpi - up to 25 ppm (mono) / up to 24 ppm (colour) - capacity: 100 sheets - Hi-Speed USB2.0. Ethernet
1000000047,E,en,Multi Print
1000000048,E,en,1000 dpi x 1000 dpi - up to 16 ppm (mono) / up to 15 ppm (colour)- capacity 80 sheets - scanner (216 x 297 mm. 1200dpi x 2400dpi)
1000000049,E,en,Multi Color
1000000050,E,en,1200 dpi x 1200 dpi - up to 25 ppm (mono) / up to 24 ppm (colour)- capacity 80 sheets - scanner (216 x 297 mm. 2400dpi x 4800dpi. high resolution)
1000000051,E,en,Cordless Mouse
1000000052,E,en,Cordless Optical USB Mice. Laptop. Colour: Black. Plug&Play
1000000053,E,en,Speed Mouse
1000000054,E,en,Optical USB. PS/2 Mice. Colour: Blue. 3-button-functionality (incl. Scroll wheel)
1000000055,E,en,Track Mouse
1000000056,E,en,Optical USB Mice. Colour: Red. 5-button-functionality(incl. Scroll wheel). Plug&Play
1000000057,E,en,Ergonomic Keyboard
1000000058,E,en,Ergonomic USB PS/2 Keyboard for Desktop. Plug&Play
1000000059,E,en,Internet Keyboard
1000000060,E,en,Corded Keyboard with special keys for Internet Usability. USB
1000000061,E,en,Media Keyboard
1000000062,E,en,Corded Keyboard with special keys for Media Usability. USB
1000000063,E,en,Mousepad
1000000064,E,en,Nice Mousepad with ITelO Logo
1000000065,E,en,Ergo Mousepad
1000000066,E,en,Ergonomic Mousepad with ITelO Logo
1000000067,E,en,Designer Mousepad
1000000068,E,en,With extraordinary diligence designed by our Marketing manager with the ITelO Logo
1000000069,E,en,Notebook LCD Display
1000000070,E,en,Replacement display for all 14'' IBM Thinkpad. Gercom Webboy. and HP Omnibook computers.
1000000071,E,en,Proctra X
1000000072,E,en,Proctra X: DDR2 RoHS 128MB. Clock rate: 350 MHz. Memory Clock: 533 MHz. Bus Type: PCI-Express. Memory Type: DDR2. Memory Bus: 32-bit. Highlighted Features: DVI Out
1000000073,E,en,Gladiator MX
1000000074,E,en,Gladiator MX: DDR2 RoHS 128MB Supporting 512MB Clock rate: 350 MHz Memory Clock: 533 MHz. Bus Type: PCI-Express. Memory Type: DDR2 Memory Bus: 32-bit Highlighted Features: DVI Out. TV Out . HDTV
1000000075,E,en,Hurricane GX
1000000076,E,en,Hurricane GX: DDR2 RoHS 512MB Supporting1024MB Clock rate: 550 MHz Memory Clock: 933 MHz. Bus Type: PCI-Express. Memory Type: DDR2 Memory Bus: 64-bit Highlighted Features: DVI Out. TV-In. TV-Out. HDTV
1000000077,E,en,Psimax
1000000078,E,en,PsimaX: High performance of thePsimax is matched by competitive features and extra horsepower to deliver barrier-free entertainment.
1000000079,E,en,Photo Scan
1000000080,E,en,Flatbed scanner - 1200 dpi x 1000 dpi - 216 x 297 mm - Hi-Speed USB  - Bluetooth Ver. 1.2
1000000081,E,en,Power Scan
1000000082,E,en,Flatbed scanner - 1200 dpi x 1200 dpi - 216 x 297 mm - Hi-Speed USB  - Bluetooth Ver. 1.2
1000000083,E,en,Jet Scan Professional
1000000084,E,en,Flatbed scanner - Letter - 2400 dpi x 2400 dpi - 216 x 297 mm - Hi-Speed USB  - Bluetooth Ver. 1.2
1000000085,E,en,Jet Scan Professional
1000000086,E,en,Flatbed scanner - Letter - 2400 dpi x 2400 dpi - ADF ( 50 sheets ) - Hi-Speed USB  - Bluetooth Ver. 1.2
1000000087,E,en,Copymaster
1000000088,E,en,Copymaster
1000000089,E,en,Surround Sound
1000000090,E,en,PC multimedia speakers - 5 Watt (Total)
1000000091,E,en,Blaster Extreme
1000000092,E,en,PC multimedia speakers - 10 Watt (Total) - 2-way
1000000093,E,en,Sound Booster
1000000094,E,en,PC multimedia speakers - 30 Watt (Total) - 2-way
1000000095,E,en,Smart Office
1000000096,E,en,Complete package. 1 User. Different Office Applications. wordprocessing. spreadsheet. presentations
1000000097,E,en,Smart Design
1000000098,E,en,Complete package. 1 User. Image editing. processing
1000000099,E,en,Smart Network
1000000100,E,en,Complete package. 1 User. Network Software Utilitys. Useful Applications and Documentation
1000000101,E,en,Smart Multimedia
1000000102,E,en,Complete package. 1 User. different Multimedia applications. playing music. watching dvds. only with this Smart package
1000000103,E,en,Smart Games
1000000104,E,en,Complete package. 1 User. various games for amusement. logic. action. jump&run
1000000105,E,en,Smart Internet Antivirus
1000000106,E,en,Complete package. 1 User. highly recommended for internet user. to be armed against cybercrime like virus and trojan
1000000107,E,en,Smart Firewall
1000000108,E,en,Complete package. 1 User. recommended for internet user. protect your PC against cyber-crime
1000000109,E,en,Smart Money
1000000110,E,en,Complete package. 1 User. bring your money in your mind. see what you have and what you want
1000000111,E,en,PC Lock
1000000112,E,en,Everywhere security to avoid burglary of your Desktop
1000000113,E,en,Notebook Lock
1000000114,E,en,Everywhere security for your notebook
1000000115,E,en,Web cam reality
1000000116,E,en,Web camera. colour. High-Speed USB
1000000117,E,en,Screen clean
1000000118,E,en,10 separately packed screen clean cloths
1000000119,E,en,Leather bag professional
1000000120,E,en,Separately notebook case. many room for pencils and ring binder
1000000121,E,en,Modem Hyper Speed
1000000122,E,en,Modem Hyper Speed with 56k Ethernet connectivity
1000000123,E,en,ISDN direct
1000000124,E,en,ISDN Modem with 64k/128k Ethernet connectivity
1000000125,E,en,ADSL progress T1
1000000126,E,en,ADSL Modem with asynchronous DSL high speed connectivity
1000000127,E,en,USB Stick 1 GB
1000000128,E,en,USB 2.0 High-Speed 1GB
1000000129,E,en,Keybord. english international
1000000130,E,en,Corded Keyboard with english keys
1000000131,E,en,Flat X-large II
1000000132,E,en,23 Optimum Resolution 2048 × 1536 @ 85Hz. Max resolution 2080 × 1560 @ 75Hz. Dot Pitch: 0.24mm
1000000133,E,en,Flat XL
1000000134,E,en,23 Optimum Resolution 2016 x 1512 @ 85Hz. Max resolution 2048 x 1536 @ 75Hz. Dot Pitch: 0.24mm
1000000135,E,en,PC Power Station
1000000136,E,en,PC Power Station with 2.6 quad-core. 2 GB RAM. feels like a PC
1000000137,E,en,Server Basic
1000000138,E,en,Dual socket. quad-core processing server with 1333 MHz Front Side Bus with 10Gb connectivity
1000000139,E,en,Server Professional
1000000140,E,en,Dual socket. quad-core processing server with 1644 MHz Front Side Bus with 10Gb connectivity
1000000141,E,en,Server Power Pro
1000000142,E,en,Dual socket. quad-core processing server with 1644 MHz Front Side Bus with 100Gb connectivity
1000000143,E,en,Flat Watch HD32
1000000144,E,en,32 Zoll. 1366x768 Pixel. 16:9. HDTV ready
1000000145,E,en,Flat Watch HD37
1000000146,E,en,37 Zoll. 1366x768 Pixel. 16:9. HDTV ready
1000000147,E,en,Flat Watch HD41
1000000148,E,en,41 Zoll. 1366x768 Pixel. 16:9. HDTV ready
1000000149,E,en,Platinberry
1000000150,E,en,Our new multifunctional Handheld with phone function in platin
1000000151,E,en,Goldberry
1000000152,E,en,Our new multifunctional Handheld with phone function in gold
1000000153,E,en,Silverberry
1000000154,E,en,Our new multifunctional Handheld with phone function in silver
1000000155,E,en,Copperberry
1000000156,E,en,Our new multifunctional Handheld with phone function in copper
1000000157,E,en,Lovely Sound 5.1 Wireless
1000000158,E,en,5.1 Headset. 40 Hz-20 kHz. Wireless
1000000159,E,en,Lovely Sound 5.1
1000000160,E,en,5.1 Headset. 40 Hz-20 kHz. 3m cable
1000000161,E,en,Lovely Sound Stereo
1000000162,E,en,5.1 Headset. 40 Hz-20 kHz. 3m cable
1000000163,E,en,Power Pro Player 80
1000000164,E,en,MP3-Player with 80 GB HDD and Color Display. can play movies
1000000165,E,en,Power Pro Player 40
1000000166,E,en,MP3-Player with 40 GB HDD and Color Display. can play movies
1000000167,E,en,Basic Booster B
1000000168,E,en,2 GB. Flash. USB
1000000169,E,en,Basic Booster A
1000000170,E,en,1 GB. Flash. USB
1000000171,E,en,Record Movie
1000000172,E,en,160 GB HDD. CD-RW. DVD+R/RW. DVD-R/RW. MPEG 2 (Video-DVD). MPEG 4. VCD. SVCD. DivX. Xvid
1000000173,E,en,Play Movie
1000000174,E,en,CD-RW. DVD+R/RW. DVD-R/RW. MPEG 2 (Video-DVD). MPEG 4. VCD. SVCD. DivX. Xvid
1000000175,E,en,Beam Breaker B-3
1000000176,E,en,2500 ANSI-Lumen. max.12.3Meter. 800 Pixel. 600 Pixel
1000000177,E,en,Beam Breaker B-2
1000000178,E,en,2200 ANSI-Lumen. max.9.34 Meter. 800 Pixel. 600 Pixel
1000000179,E,en,Portable DVD Player with 9 LCD Monitor
1000000180,E,en,9 LCD Screen. storage holds up to 8 hours. 2 speakers included
1000000181,E,en,Beam Breaker B-1
1000000182,E,en,1900 ANSI-Lumen. max. 8.45 Meter. 800 Pixel. 600 Pixel
1000000183,E,en,Removable CD/DVD Laser Labels
1000000184,E,en,To archive your self-burned CDs
1000000185,E,en,Audio/Video Cable Kit - 12 ft
1000000186,E,en,Connecting our beamers and notebooks using full quality
1000000187,E,en,CD/DVD case: 264 capacity
1000000188,E,en,Keeps your CD and DVDs clean and in order with our CD/DVD case
1000000189,E,en,10 Portable DVD player
1000000190,E,en,10 LCD Screen. storage battery holds up to 8 hours
1000000191,E,en,7 Widescreen Portable DVD Player w MP3
1000000192,E,en,7 LCD Screen. storage battery holds up to 6 hours!
1000000193,E,en,Gaming Monster Pro
1000000194,E,en,2.5 Ghz. quad core. 8 GB RAM. 700 GB Hdd. Graphic Card: Hurricane GX
1000000195,E,en,Gaming Monster
1000000196,E,en,2.2 Ghz. dual core. 2 GB RAM. 400 GB Hdd. Graphic Card: Gladiator MX
1000000197,E,en,Family PC Pro
1000000198,E,en,2 Ghz. dual core. 1 GB RAM. 250 GB Hdd. Graphic Card: Gladiator MX
1000000199,E,en,Family PC Basic
1000000200,E,en,1.8 Ghz. dual core.512 MB Ram. 100 GB HDD. Graphic Card: Proctra X
1000000201,E,en,USB Stick 2 GB
1000000202,E,en,USB 2.0 High-Speed 2GB
1000000203,E,en,ITelO FlexTop I4000
1000000204,E,en,1.5 Ghz. single core. 40 GB HDD. Windows Vista Home Basic. 512 MB RAM
1000000205,E,en,ITelO FlexTop I6300c
1000000206,E,en,1.6 Ghz. dual core. 60 GB HDD. Windows Vista Home Basic. 512 MB RAM+
1000000207,E,en,ITelO FlexTop I9100
1000000208,E,en,2.2 Ghz. quad core. 80 GB HDD. Windows Vista Home Premium. 1024 MB RAM
1000000209,E,en,ITelO FlexTop I9800
1000000210,E,en,2.8 Ghz. quad core. 120 GB HDD. Windows Vista Home Premium. 2048 MB RAM
1000000211,E,en,Flyer
1000000212,E,en,Flyer for our new product
