MESSAGECLASS,MESSAGENUMBER,LANGUAGE,DESCRIPTION,TEXT
SEPM_EXCEPTIONS,007,en,'&1' is not an EPM DB table,
SEPM_SALES_ON_DEMAND,010,en,Updating Sales Order item data for Opportunity &1 has failed,
SEPM_WD,010,en,Purchase Order & does not exist,
SEPM_BOR_MESSAGES,011,en,EPM problem: Supplier data for product &1 can not be retrieved,
SEPM_BO_COMMON,011,en,Updating data on field '&1' is not allowed.,
SEPM_EXCEPTIONS,011,en,Table of node keys is empty,
SEPM_SALES_ON_DEMAND,007,en,Invalid OP Item data: &1,
SEPM_WD,007,en,Purchase Order & rejected,
SEPM_BOR_MESSAGES,008,en,Consumer problem: Specify ID for supplier [&1],
SEPM_BO_COMMON,008,en,Invalid language '&1',
SEPM_DG,008,en,EPM Data Generator: Purchase Orders deleted,
SEPM_EXCEPTIONS,008,en,Duplicate key '&1',
SEPM_SALES_ON_DEMAND,011,en,Updating Sales Order Schedule line data for Opportunity &1 has failed,
SEPM_WD,011,en,No employee ID found for user &1 in table &2,
SEPM_BOR_MESSAGES,012,en,Consumer problem: Invalid product id [&1] in conversion factor data,
SEPM_BO_COMMON,012,en,Delete is not allowed because of property value.,
SEPM_DG,012,en,Error: Snapshot Key must not be empty,
SEPM_EXCEPTIONS,012,en,Edit mode '&1' is invalid,
SEPM_SALES_ON_DEMAND,008,en,Invalid OP Schedule Line data: &1,
SEPM_WD,008,en,Purchase Order & sent,
SEPM_BOR_MESSAGES,009,en,EPM problem: Creation of &1 has failed,
SEPM_BO_COMMON,009,en,Action '&1' is not enabled,
SEPM_DG,009,en,EPM Data Generator: &1 Purchase Orders created,
SEPM_EXCEPTIONS,009,en,Operation '&1' has failed. Reason: &2,
SEPM_SALES_ON_DEMAND,009,en,IDoc problem: &1,
SEPM_SALES_ON_DEMAND,012,en,Creating Sales Order item data for Opportunity &1 has failed,
SEPM_WD,009,en,Selection restricted to &1 hits (&2 entries found on the database),
SEPM_WD,012,en,Product picture could not be changed,
SEPM_BOR_MESSAGES,013,en,Consumer problem: Conversion factor modification info missing for &1,
SEPM_BO_COMMON,013,en,Create is not allowed because of property value.,
SEPM_BO_COMMON,014,en,System failure: Element cannot be locked,
SEPM_DG,013,en,EPM Data Generator: Database Snapshot exported,
SEPM_DG,014,en,EPM Data Generator: Database Snapshot imported,
SEPM_EXCEPTIONS,013,en,Table of data is empty,
SEPM_EXCEPTIONS,014,en,Message Buffer is invalid,
SEPM_SALES_ON_DEMAND,013,en,Creating Sales Order schedule line data for Opportunity &1 has failed,
SEPM_WD,013,en,Purchase Order & deleted,
SEPM_BOR_MESSAGES,014,en,Consumer problem: Multiple conversion factor data for &1,
SEPM_BOR_MESSAGES,015,en,Consumer problem: Invalid product id [&1] in conversion factor modif info,
SEPM_BO_COMMON,015,en,Creation of a node element of type &1 has failed,
SEPM_DG,015,en,EPM Data Generator: Database Snapshot deleted,
SEPM_EXCEPTIONS,015,en,Node key field name ( &1 ) for DB table &2 does not exist,
SEPM_WD,014,en,Quantity must be greater than 0,
SEPM_BOR_MESSAGES,020,en,Consumer problem: Multiple conversion factor modification infos for &1,
SEPM_BO_COMMON,020,en,Invalid currency code '&1',
SEPM_DG,016,en,EPM Data Generator: Number Ranges created,
SEPM_DG,020,en,EPM Data Generator: All Database Snapshots deleted,
SEPM_EXCEPTIONS,016,en,Too many selection parameters ( &1 )specified for DB table &2,
SEPM_EXCEPTIONS,020,en,Invalid sort order ( &1 ) specified for field ( &2 ) of DB &3,
SEPM_BOR_MESSAGES,016,en,Consumer problem: Conversion factor data already exists for &1,
SEPM_BOR_MESSAGES,021,en,Consumer problem: Invalid BOR key [&1] in BAPI data,
SEPM_BO_COMMON,016,en,Deletion of node element of type &1 has failed,
SEPM_BO_COMMON,021,en,Missing schedule line,
SEPM_DG,021,en,Error: Enter a valid Currency Code,
SEPM_EXCEPTIONS,021,en,Contradictory paging options specified for DB table &1,
SEPM_BOR_MESSAGES,017,en,Consumer problem: Conversion factor data does not exists for &1,
SEPM_BO_COMMON,017,en,Error during communication step &1 has occured,
SEPM_BO_COMMON,022,en,Value must be greater than 0,
SEPM_DG,017,en,EPM Data Generator: Number Ranges reset,
SEPM_DG,022,en,Error: Enter no. of Purchase Orders,
SEPM_EXCEPTIONS,017,en,Selection parameter field name &1 does not exist with DB table &2,
SEPM_EXCEPTIONS,022,en,Parent key '&1' does not exist,
SEPM_BOR_MESSAGES,018,en,Consumer problem: Invalid action code &1 in conversion factor modif info,
SEPM_BOR_MESSAGES,022,en,Consumer problem: Parent data missing for &1,
SEPM_BO_COMMON,018,en,Text already exists for language '&1',
SEPM_DG,018,en,Error: Snapshot key not found,
SEPM_EXCEPTIONS,018,en,Invalid value ( &1 ) for parameter 'Maximum number of rows to select',
SEPM_BOR_MESSAGES,019,en,Consumer problem: Conversion factor data is missing for &1,
SEPM_BOR_MESSAGES,023,en,Consumer problem: Duplicate BAPI data for &1,
SEPM_BO_COMMON,019,en,Authorization missing,
SEPM_BO_COMMON,023,en,Invalid category '&1',
SEPM_DG,019,en,Error: Cannot write snapshot,
SEPM_DG,023,en,Error: List of Users is empty,
SEPM_EXCEPTIONS,019,en,Field name ( &1 ) does not exist for DB table &2,
SEPM_EXCEPTIONS,023,en,Table of alternative keys is empty,
SEPM_BOR_MESSAGES,024,en,EPM problem: Retrieval of Sales Order data [&1] has failed,
SEPM_BOR_MESSAGES,025,en,EPM problem: Business Partner for Sales Order &1 can not be retrieved,
SEPM_BO_COMMON,024,en,Value must not be negative,
SEPM_BO_COMMON,025,en,Identifier already exists,
SEPM_DG,024,en,Error: Invalid Date Spec,
SEPM_DG,025,en,EPM Data Generator: Company Data Created,
SEPM_EXCEPTIONS,024,en,Alternative key field '&1' does not exist for BO node '&2',
SEPM_EXCEPTIONS,025,en,Root data buffer has no parent,
SEPM_BOR_MESSAGES,026,en,EPM problem: Employee data for Sales Oder &1 can not be retrieved,
SEPM_BOR_MESSAGES,030,en,Consumer problem: Business Partner ID and Company name do not match: &1,
SEPM_BO_COMMON,026,en,Invalid type code '&1',
SEPM_BO_COMMON,030,en,Invalid association target,
SEPM_DG,026,en,EPM Data Generator: Temporary Mime Files Deleted,
SEPM_DG,030,en,EPM Data Generator: Enterprise Search available,
SEPM_EXCEPTIONS,026,en,Alternative key is initial,
SEPM_EXCEPTIONS,030,en,Message is invalid,
SEPM_BOR_MESSAGES,031,en,Consumer problem: Field values must be initial: &1,
SEPM_BOR_MESSAGES,101,en,Workflow: Raising of event has failed for &1,
SEPM_BO_COMMON,031,en,Circular Org Unit Definition,
SEPM_DG,031,en,EPM Data Generator: Enterprise Search not available,
SEPM_EXCEPTIONS,031,en,Entity name of the property '&1' is invalid,
SEPM_TEST,101,en,Automated tests have been successful.,
SEPM_BOR_MESSAGES,027,en,EPM problem: There is no schedule line data for item position &1,
SEPM_BOR_MESSAGES,032,en,Consumer problem: Sales Order ID mismatch [&1],
SEPM_BOR_MESSAGES,100,en,----------- BOR related messages - Start - ----------,
SEPM_BO_COMMON,027,en,Invalid tax tariff code '&1',
SEPM_BO_COMMON,032,en,Value '&1' is not unique,
SEPM_DG,027,en,Error: List of System Users is initial.,
SEPM_DG,032,en,EPM Data Generator: Update of EPM indices triggered,
SEPM_EXCEPTIONS,027,en,Invalid sort field name ( &1 ) specified for DB &2,
SEPM_EXCEPTIONS,032,en,Property name '&1' is invalid,
SEPM_FPM,100,en,Error occurred: &1,
SEPM_TEST,100,en,***** Messages from helper classes,
SEPM_BOR_MESSAGES,028,en,EPM problem: Retrieval of product data for item position &1 has failed,
SEPM_BOR_MESSAGES,102,en,EPM problem: Retrieval of Product data [&1] has failed,
SEPM_BO_COMMON,028,en,Invalid weight unit '&1',
SEPM_DG,028,en,Reassigned user &1 to new org &2,
SEPM_DG,033,en,EPM Data Generator: Update of Search Indices not triggered,
SEPM_EXCEPTIONS,028,en,Invalid selection field name ( &1 ) specified for DB &2,
SEPM_TEST,102,en,Automated tests failed.,
SEPM_BOR_MESSAGES,029,en,EPM problem: Retrieval of Business Partner data [&1] has failed,
SEPM_BOR_MESSAGES,033,en,Consumer problem: Specify ID for Buyer [&1],
SEPM_BOR_MESSAGES,034,en,Feature &1 not supported yet,
SEPM_BO_COMMON,029,en,Wrong number of child node elements,
SEPM_BO_COMMON,033,en,Invalid role '&1',
SEPM_BO_COMMON,034,en,Invalid sex '&1',
SEPM_DG,029,en,EPM Data Generator: Cleanup done.,
SEPM_DG,034,en,EPM Data Generator: Sales Orders deleted,
SEPM_EXCEPTIONS,029,en,Message Buffer Table is invalid,
SEPM_EXCEPTIONS,033,en,Property '&1' is not allowed to be set dynamically,
SEPM_EXCEPTIONS,034,en,Bool value '&1' is invalid,
SEPM_BOR_MESSAGES,035,en,----------- BOR related messages - End - ----------,
SEPM_BOR_MESSAGES,050,en,Discard changes to product data?,
SEPM_BO_COMMON,035,en,Invalid business partner ID '&1',
SEPM_BO_COMMON,040,en,Invalid length unit '&1',
SEPM_DG,035,en,EPM Data Generator: &1 Sales Orders created,
SEPM_DG,040,en,EPM Data Generator: Data table is empty,
SEPM_DG,050,en,EPM Data Generator: Node key table is initial,
SEPM_EXCEPTIONS,035,en,Property value '&1' conflicts with other dynamic property,
SEPM_EXCEPTIONS,040,en,BO name '&1' represents no EPM BO,
SEPM_EXCEPTIONS,050,en,BO node name '&1' is invalid,
SEPM_BOR_MESSAGES,051,en,Product data saved,
SEPM_BOR_MESSAGES,103,en,EPM problem: Supplier data for Product &1 can not be retrieved,
SEPM_BO_COMMON,041,en,Invalid timestamp '&1',
SEPM_DG,041,en,EPM Data Generator: Data does not match node type,
SEPM_DG,051,en,Node &1 key &2 is invalid,
SEPM_EXCEPTIONS,041,en,Invalid SAM precondition '&1',
SEPM_EXCEPTIONS,051,en,Property is empty,
SEPM_TEST,103,en,Error in the automated tests (Report: &1 Owner: &2 &3),
SEPM_BOR_MESSAGES,036,en,Invalid product ID '&1',
SEPM_BOR_MESSAGES,052,en,No changes to save,
SEPM_BO_COMMON,036,en,Invalid product ID '&1',
SEPM_BO_COMMON,042,en,Product '&1' has no Storage Bin for Org Unit '&2',
SEPM_DG,036,en,Error: Select at least Purchase Orders or Sales Orders,
SEPM_DG,042,en,EPM Data Generator: Not all indicated records could be deleted,
SEPM_DG,052,en,EPM Data Generator: BO name &1 is invalid,
SEPM_EXCEPTIONS,036,en,This method can only be called on the root buffer,
SEPM_EXCEPTIONS,042,en,Message Class: '&1' does not exist,
SEPM_EXCEPTIONS,052,en,Field '&1' is not a key field,
SEPM_BOR_MESSAGES,104,en,EPM problem: Triggering action &1 has failed,
SEPM_BO_COMMON,037,en,Value must be positive,
SEPM_BO_COMMON,039,en,Inverse source and target unit combination not allowed,
SEPM_BO_COMMON,043,en,Storage Bin '&1' has &2 Products but requested are &3,
SEPM_DG,037,en,EPM Data Generator: &1 Transactional Data records created,
SEPM_DG,039,en,EPM Data Generator: &1 Invalid or empty node name,
SEPM_DG,043,en,EPM Data Generator: Not all indicated records could be read,
SEPM_EXCEPTIONS,037,en,Service Interface &1 could not be created,
SEPM_EXCEPTIONS,039,en,BO node name '&1' represents no EPM BO node,
SEPM_EXCEPTIONS,043,en,BO node '&1' has no data buffer,
SEPM_TEST,104,en,Number of days specified ( &1 ) is invalid,
SEPM_BOR_MESSAGES,105,en,EPM problem: Address data of Business Partner &1 can not be retrieved,
SEPM_BO_COMMON,038,en,Source and target unit combination already exists,
SEPM_DG,038,en,EPM Data Generator Started Date: &1 Time: &2,
SEPM_DG,044,en,EPM Data Generator: Channel name is empty,
SEPM_DG,053,en,EPM Data Generator: Variant name is empty,
SEPM_EXCEPTIONS,038,en,Messsage sending via service interface &1 failed,
SEPM_TEST,105,en,Reorganization of EPM administration data successfully processed,
SEPM_BOR_MESSAGES,045,en,Severe EPM error: '&1',
SEPM_BOR_MESSAGES,106,en,EPM problem: Address data of BP &1 contacts can not be retrieved,
SEPM_BO_COMMON,044,en,Org Unit '&1' does not exist,
SEPM_BO_COMMON,045,en,Invalid sales order ID '&1',
SEPM_DG,045,en,EPM Data Generator: Target list is empty,
SEPM_DG,054,en,EPM Data Generator: Parameter table is empty,
SEPM_EXCEPTIONS,044,en,BO node '&1' has no field '&2',
SEPM_EXCEPTIONS,045,en,Too many filter parameters specified (&1 maximum is &2),
SEPM_EXCEPTIONS,054,en,Invalid number range number '&1',
SEPM_TEST,106,en,Reorganization of EPM administration data has failed,
SEPM_BOR_MESSAGES,046,en,Product '&1' is locked.,
SEPM_DG,046,en,EPM Data Generator: Channel &1 does not exist,
SEPM_DG,055,en,EPM Data Generator: Target &1 has invalid type,
SEPM_DG,060,en,EPM Data Generator: PO Invoices deleted,
SEPM_EXCEPTIONS,046,en,Node key '&1' doesn't exist in buffer,
SEPM_EXCEPTIONS,055,en,End before start date,
SEPM_EXCEPTIONS,060,en,Parameter CHANGED_FIELDS does not suite parameter IT_DATA,
SEPM_TEST,110,en,Profile &1 is NOT assigned to user &2,
SEPM_TEST,200,en,***** Messages for cx_epm_test,
SEPM_BOR_MESSAGES,047,en,Product '&1' already exists,
SEPM_BOR_MESSAGES,107,en,EPM problem: Retrieval of Business Partner data [&1] has failed,
SEPM_DG,047,en,EPM Data Generator: Target &1 does not exist,
SEPM_DG,061,en,Product ID &1 does not match type &2,
SEPM_EXCEPTIONS,047,en,Set property delete disabled is not allowed when parents are not.,
SEPM_EXCEPTIONS,061,en,Language is initial,
SEPM_TEST,107,en,Role &1 is not assigned to User &2.,
SEPM_TEST,111,en,Role &1 does not have a corresponding (generated) profile,
SEPM_TEST,201,en,Invalid parameters,
SEPM_BOR_MESSAGES,048,en,Delete Product '&1'?,
SEPM_BOR_MESSAGES,049,en,Product '&1' deleted.,
SEPM_DG,048,en,EPM Data Generator: Channel &1 has a syntax error,
SEPM_DG,049,en,EPM Data Generator Stopped. Execution Time: &1 s,
SEPM_DG,056,en,EPM Data Generator: Channel &1 has invalid type,
SEPM_DG,057,en,EPM Data Generator: Invalid Parameter Value &1,
SEPM_EXCEPTIONS,048,en,Get property create enabled without keys is not allowed for child buffers,
SEPM_EXCEPTIONS,049,en,Get create enabled root properties with node keys is not allowed.,
SEPM_EXCEPTIONS,056,en,Invalid language '&1',
SEPM_EXCEPTIONS,057,en,ABAP class '&1' does not exist,
SEPM_TEST,108,en,Role &1 of user &2 is out of date.,
SEPM_DG,058,en,EPM Data Generator: Syntax error in Class &1,
SEPM_DG,062,en,EPM Data Generator: Master data created,
SEPM_DG,063,en,Data Generation Error in step &1,
SEPM_EXCEPTIONS,058,en,Content is initial,
SEPM_EXCEPTIONS,062,en,ECM: Consumer node name / node key specification is missing,
SEPM_TEST,109,en,Profile &1 of user &2 in NOT an EPM profile,
SEPM_TEST,112,en,Unexpected Role &1 for User &2,
SEPM_TEST,202,en,Test utilities already started,
SEPM_DG,059,en,Data for node &1 is empty!,
SEPM_DG,064,en,EPM Data Generator: Channel &1 has no reference target,
SEPM_DG,070,en,EPM Data Generator: Invalid number of table entries,
SEPM_EXCEPTIONS,059,en,Node key '&1' does not exist,
SEPM_EXCEPTIONS,063,en,ECM: Display name missing,
SEPM_EXCEPTIONS,064,en,ECM: Attachment content is not expected when creating a folder,
SEPM_EXCEPTIONS,070,en,Consumer node specification differs from parent folder ('&1'/'&2'),
SEPM_BO_COMMON,300,en,Purchase order must have cofirmation status 'confirmed',
SEPM_DG,065,en,EPM Data Generator: Invalid snapshot key,
SEPM_DG,066,en,EPM Data Generator: Error! See log for details.,
SEPM_DG,071,en,EPM Data Generator: Data Manipulation error,
SEPM_EXCEPTIONS,065,en,ECM: Attachment content has not been specified,
SEPM_EXCEPTIONS,066,en,Operation '&1' has failed node ='&2' node key = '&3',
SEPM_EXCEPTIONS,071,en,Non unique field '&1',
SEPM_TEST,203,en,Invalid state,
SEPM_BO_COMMON,301,en,Purchase order has a different business partner,
SEPM_DG,067,en,EPM Data Generator: Error transforming XML,
SEPM_DG,068,en,EPM Data Generator: See Log for details,
SEPM_DG,072,en,EPM Data Generator: All Data Deleted,
SEPM_DG,080,en,***Average generation time: &1 sec.,
SEPM_EXCEPTIONS,067,en,Operation '&1' of node '&2' is only allowed in batch mode,
SEPM_EXCEPTIONS,068,en,Action parameters are missing,
SEPM_EXCEPTIONS,072,en,Action '&1' does not exist,
SEPM_TEST,204,en,Session is running as local test,
SEPM_TEST,205,en,Test already running,
SEPM_BO_COMMON,400,en,Sales order must have lifecycle status 'In Process',
SEPM_DG,069,en,No parameters found,
SEPM_DG,073,en,Error: List of Products is empty,
SEPM_DG,074,en,Error: Invalid Product,
SEPM_DG,081,en,Package size: &1 records,
SEPM_EXCEPTIONS,069,en,Parent node ( node key = '&1' ) is not an attachment folder,
SEPM_EXCEPTIONS,073,en,Method '&1' does not exist,
SEPM_EXCEPTIONS,074,en,Switching the processor context in a session is not allowed,
SEPM_TEST,206,en,Test sequence cancelled after error,
SEPM_BOR_MESSAGES,150,en,----------- BOR related messages - End - ----------,
SEPM_BO_COMMON,302,en,Purchase order has a different gross amount,
SEPM_BO_COMMON,500,en,---  Planning Engine Messages -------------------------------------------,
SEPM_DG,075,en,Error: Invalid User,
SEPM_DG,076,en,One or more EPM sessions are active,
SEPM_DG,082,en,No. of Transactional records: &1,
SEPM_EXCEPTIONS,075,en,Cannot obtain lock for Unit Test: '&1',
SEPM_EXCEPTIONS,076,en,Inconsistent message payload,
SEPM_TEST,210,en,The specified test sequence (&1) is unknown.,
SEPM_TEST,211,en,The requested state transition (&1) is invalid.,
SEPM_BO_COMMON,303,en,Purchase order has a different net amount,
SEPM_BO_COMMON,501,en,Goods Issue for Sales Order ID &1 created,
SEPM_DG,077,en,Data Generator may be running!,
SEPM_DG,078,en,Number of iterations: &1,
SEPM_DG,083,en,Recreate Master Data: Selected,
SEPM_DG,090,en,EPM Data Generator: Goods Issue records deleted,
SEPM_DG,091,en,EPM Data Generator: SO Invoices deleted,
SEPM_EXCEPTIONS,077,en,Invalid Org Unit,
SEPM_EXCEPTIONS,078,en,Unspported filter option '&1',
SEPM_TEST,207,en,Storing test contexts in persistency layer has failed,
SEPM_TEST,208,en,Foreign lock exists,
SEPM_BO_COMMON,304,en,Purchase order has a different tax amount,
SEPM_BO_COMMON,305,en,Purchase order has a different currency code,
SEPM_BO_COMMON,502,en,Purchase Order ID &1 created,
SEPM_DG,079,en,***Total generation time: &1 sec.,
SEPM_DG,084,en,Recreate Purchase Orders: Selected,
SEPM_DG,085,en,Recreate Sales Orders: Selected,
