ADDRESSID,CITY,POSTALCODE,STREET,BUILDING,COUNTRY,REGION,ADDRESSTYPE,VALIDITY.STARTDATE,VALIDITY.ENDDATE,LATITUDE,LONGITUDE,POINT
1000000013,London,EC1Y8SY,Flood Street,18,GB,EMEA,01,2000-01-01,9999-12-31,51.4862153,-0.1653848,POINT(51.4862153 -0.1653848)
1000000014,Berlin,10001,Drosselweg,28,DE,EMEA,01,2000-01-01,9999-12-31,52.4602307,13.2859039,POINT(52.4602307 13.2859039)
1000000015,San Francisco,94101,Queens Boulevard,15,US,AMER,01,2000-01-01,9999-12-31,37.7700849,-122.2805739,POINT(37.7700849 -122.2805739)
1000000016,London,EC1Y 8SY,Claredon Street,38,GB,EMEA,01,2000-01-01,9999-12-31,51.48987229999999,-0.1439026,POINT(51.4898722999999 -0.1439026)
1000000017,Berlin,14129,Eiderstedterweg,22,DE,EMEA,01,2000-01-01,9999-12-31,52.4349711,13.2195962,POINT(52.4349711 13.2195962)
1000000018,Berlin,10001,Waldhüterpfad,23,DE,EMEA,01,2000-01-01,9999-12-31,52.44745409999999,13.2544007,POINT(52.4474540999999 13.2544007)
1000000019,San Francisco,94101,Silver Avenue,16,US,AMER,01,2000-01-01,9999-12-31,37.7298955,-122.4132939,POINT(37.7298955 -122.4132939)
1000000020,San Francisco,94101,Panorama Drive,22,US,AMER,01,2000-01-01,9999-12-31,37.751236,-122.452133,POINT(37.751236 -122.452133)
1000000021,Berlin,10001,Motzstraße,33,DE,EMEA,01,2000-01-01,9999-12-31,52.4963326,13.3436826,POINT(52.4963326 13.3436826)
1000000022,London,EC1Y8SY,Chester Street,27,GB,EMEA,01,2000-01-01,9999-12-31,51.4992802,-0.150112,POINT(51.4992802 -0.150112)
1000000023,New York,10011,21th Street,31,US,AMER,01,2000-01-01,9999-12-31,40.744009,-73.999422,POINT(40.744009 -73.999422)
1000000024,New York,10011,Lexington Avenue,29,US,AMER,01,2000-01-01,9999-12-31,40.755562,-73.9730533,POINT(40.755562 -73.9730533)
1000000025,New York,10011,387th Street,30,US,AMER,01,2000-01-01,9999-12-31,40.754707,-73.991632999999,POINT(40.754707 -73.991632999999)
1000000026,Antioch Illinois,60002,Grand Avenue,99,US,AMER,01,2000-01-01,9999-12-31,42.4554625,-88.1256739,POINT(42.4554625 -88.1256739)
1000000027,New York,10011,Bleecker Street,32,US,AMER,01,2000-01-01,9999-12-31,40.7285957,-74.00008149999999,POINT(40.7285957 -74.0000814999999)
1000000028,San Francisco,94101,Fernwood Avenue,44,US,AMER,01,2000-01-01,9999-12-31,37.6896959,-122.4951423,POINT(37.6896959 -122.4951423)
1000000029,London,EC1Y8SY,Paradise Walk,26,GB,EMEA,01,2000-01-01,9999-12-31,51.4852663,-0.1609982,POINT(51.4852663 -0.1609982)
1000000030,London,EC1Y8SY,Warwick Square,35,GB,EMEA,01,2000-01-01,9999-12-31,51.4908721,-0.1416282,POINT(51.4908721 -0.1416282)
1000000031,New York,10011,Park Avenue,43,US,AMER,01,2000-01-01,9999-12-31,40.8002439,-73.94237099999999,POINT(40.8002439 -73.9423709999999)
1000000032,Paris La D‚fense Cedex,92309,Rue de l'Oasis,66,FR,EMEA,01,2000-01-01,9999-12-31,48.856614,2.3522219,POINT(48.856614 2.3522219)
1000000033,Berlin,10001,Waldhüterpfad,34,DE,EMEA,01,2000-01-01,9999-12-31,52.44745409999999,13.2544007,POINT(52.4474540999999 13.2544007)
1000000034,Walldorf,69190,Dietmar-Hopp-Allee,15,DE,EMEA,02,2000-01-01,9999-12-31,49.29367360,8.641701933686,POINT(49.2936736 8.641701933686)
1000000035,Berlin,13467,Calvinstraße,36,DE,EMEA,02,2000-01-01,9999-12-31,52.61291430,13.29768390,POINT(52.6129143 13.2976839)
1000000036,Wilmington Delaware,19899,1 2345 King Street,01,US,AMER,2,2000-01-01,9999-12-31,39.74594680,-75.5465890,POINT(39.7459468 -75.546589)
1000000037,Hannover,30625,An der Breiten Wiese,422,DE,EMEA,02,2000-01-01,9999-12-31,52.382990802599,9.823618171812,POINT(52.382990802599 9.823618171812)
1000000038,Hollywood California,91602,Morning Drive,178,US,AMER,02,2000-01-01,9999-12-31,34.136429050,-118.352803603805,POINT(34.13642905 -118.352803603805)
1000000039,Muenster,48155,Albersloher Weg,24,DE,EMEA,02,2000-01-01,9999-12-31,51.94008180,7.65173130,POINT(51.9400818 7.6517313)
1000000040,Tokyo,1000004,1-7-2 Ohtemachi,1,JP,APJ,02,2000-01-01,9999-12-31,35.6933474500,139.763682287452,POINT(35.69334745 139.763682287452)
1000000041,Paris,75015,Rue de la Republique 863,1,FR,EMEA,02,2000-01-01,9999-12-31,48.856505600000,2.352133400000,POINT(48.8565056 2.3521334)
1000000042,Mexiko City,17000,Bosque de Duraznos,24,MX,AMER,02,2000-01-01,9999-12-31,19.4325301000,-99.1332102000,POINT(19.4325301 -99.1332102)
1000000043,Buenos Aires,1511,Av. Libertador,12221,AR,AMER,02,2000-01-01,9999-12-31,-34.864871900,-58.57394780,POINT(-34.8648719 -58.5739478)
1000000044,Atlanta Georgia,30338,Dunwoody Xing,3000,US,AMER,02,2000-01-01,9999-12-31,33.7490987000,-84.3901849000,POINT(33.7490987 -84.3901849)
1000000045,Salzburg,5010,Arnold Schwarzenegger Weg,54,AT,EMEA,02,2000-01-01,9999-12-31,47.8034142000,13.0286522000,POINT(47.8034142 13.0286522)
1000000046,Manchester,M4 8RE,Kelley Street,97,GB,EMEA,02,2000-01-01,9999-12-31,51.60504030,-2.6275069000,POINT(51.6050403 -2.6275069)
1000000047,Bremen,28213,Theodor Heuss Allee,43,DE,EMEA,02,2000-01-01,9999-12-31,53.0846646000,8.81548550000,POINT(53.0846646 8.8154855)
1000000048,Bismarck North Dakota,58501,Franklin Ave,153,US,AMER,02,2000-01-01,9999-12-31,46.839540000,-100.7359400,POINT(46.83954 -100.73594)
1000000049,Quebec,J0L 1T0,Rue Sault Au Matelot,65,CA,AMER,02,2000-01-01,9999-12-31,46.8147960000,-71.203329100,POINT(46.814796 -71.2033291)
1000000050,Puebla,40615,Av. Hermanos Serdan,366,MX,AMER,02,2000-01-01,9999-12-31,19.0773571000,-98.227681100,POINT(19.0773571 -98.2276811)
1000000051,Köln,50827,Robert Koch Straße,14,DE,EMEA,02,2000-01-01,9999-12-31,50.923705400,6.923813100000,POINT(50.9237054 6.9238131)
1000000052,Mendoza,M5500,Avenida De Julio,53,AR,AMER,02,2000-01-01,9999-12-31,-32.8896488000,-68.8448363000,POINT(-32.8896488 -68.8448363)
1000000053,Lyon,69007,Quai de Pierre Scize,81,FR,EMEA,02,2000-01-01,9999-12-31,45.7575958000,4.832323900,POINT(45.7575958 4.8323239)
1000000054,Moskau,125719,Elektrosawodskaja,354,RU,EMEA,02,2000-01-01,9999-12-31,55.7516147000,37.6187012000,POINT(55.7516147 37.6187012)
1000000055,Jacksonville Florida,32229,Marshall Street,77,US,AMER,02,2000-01-01,9999-12-31,30.3315440000,-81.6341140000,POINT(30.331544 -81.634114)
1000000056,Madrid,17000,Calle Aldama,137,ES,EMEA,02,2000-01-01,9999-12-31,40.5410717000,-3.6335855000,POINT(40.5410717 -3.6335855)
1000000057,München,80935,Albert Schweitzer Straße,16,DE,EMEA,02,2000-01-01,9999-12-31,48.1938734000,11.562391391838,POINT(48.1938734 11.562391391838)
1000000058,Sapporo,608611,Narashino-Shi,51,JP,APJ,02,2000-01-01,9999-12-31,43.06204810000,141.3544569000,POINT(43.0620481 141.3544569)
1000000059,Rom,185,Via San Martino della Battaglia,63,IT,EMEA,02,2000-01-01,9999-12-31,41.9053125000,12.5040235000,POINT(41.9053125 12.5040235)
1000000060,Paris,75013,Rue Lourmel,42,FR,EMEA,02,2000-01-01,9999-12-31,48.8565056000,2.352133400,POINT(48.8565056 2.3521334)
1000000061,Santa Fe,1510,de Enero,85,AR,AMER,02,2000-01-01,9999-12-31,-31.618455300000,-60.7029753000,POINT(-31.6184553 -60.7029753)
1000000062,Rio de Janeiro,20230,Rua do Passeio,7,BR,AMER,02,2000-01-01,9999-12-31,-22.9117983000,-43.1756308000,POINT(-22.9117983 -43.1756308)
1000000063,Montreal,H2Y 1N3,Avenue du Mont-Royal Est,63,CA,AMER,02,2000-01-01,9999-12-31,45.5364941000,-73.571180800000,POINT(45.5364941 -73.5711808)
1000000064,Zürich,2564,Paul-Clairmont-Straße,23,CH,EMEA,02,2000-01-01,9999-12-31,47.3669656000,8.4995679000,POINT(47.3669656 8.4995679)
1000000065,Dallas Texas,75364,McKinney Ave,2407,US,AMER,02,2000-01-01,9999-12-31,32.785248000,-96.80593200000,POINT(32.785248 -96.805932)
1000000066,Paris,75018,Rue de Rivoli,143,FR,EMEA,02,2000-01-01,9999-12-31,48.860395000000,2.34233020000,POINT(48.860395 2.3423302)
1000000067,Chicago Illinois,60773,North Michigan Avenue,50,US,AMER,02,2000-01-01,9999-12-31,41.8949329000,-87.62433680,POINT(41.8949329 -87.6243368)
1000000068,Tokyo,1000003,4-2-8- Shibakoen,73,JP,APJ,02,2000-01-01,9999-12-31,35.6706094000,139.752125100,POINT(35.6706094 139.7521251)
1000000069,Buenos Aires,1511,Villanueva,87,AR,AMER,02,2000-01-01,9999-12-31,-35.6748224000,-58.434144200,POINT(-35.6748224 -58.4341442)
1000000070,Johannesburg,2006,Bay View Ave,45,ZA,AFR,02,2000-01-01,9999-12-31,-26.2050000,28.0497222000,POINT(-26.205 28.0497222)
1000000071,New York City,10184,Fith Avenue,1843,US,AMER,02,2000-01-01,9999-12-31,40.7305991000,-73.9865812000,POINT(40.7305991 -73.9865812)
1000000072,Bühl,77815,Hauptstraße,12,DE,EMEA,02,2000-01-01,9999-12-31,48.6909149060,8.132659252024,POINT(48.690914906 8.132659252024)
1000000073,Mumbai,400021,Nariman Point,11,IN,APJ,02,2000-01-01,9999-12-31,18.92656180000,72.822832600000,POINT(18.9265618 72.8228326)
1000000074,Warschau,564,Koszykowa,28,PL,EMEA,02,2000-01-01,9999-12-31,52.2229950000,21.0051176000,POINT(52.222995 21.0051176)
1000000075,Cordoba,5003,Av. Ambrosio Olmos,297,AR,AMER,02,2000-01-01,9999-12-31,-31.415463300,-64.184461700,POINT(-31.4154633 -64.1844617)
1000000076,Shanghai,610041,Shui Dian,37,CN,APJ,02,2000-01-01,9999-12-31,31.3063170000,121.4717500000,POINT(31.306317 121.47175)
1000000077,Kopenhagen,1907,Stockholmsgade,79,DK,EMEA,02,2000-01-01,9999-12-31,55.6913504000,12.58037710000,POINT(55.6913504 12.5803771)
1000000078,Karlsruhe,76188,Rubensstraße,140,DE,EMEA,02,2000-01-01,9999-12-31,49.04271800000,8.3807608000,POINT(49.042718 8.3807608)
