PRODUCTID,TYPECODE,CATEGORY,HISTORY.CREATEDBY.EMPLOYEEID,HISTORY.CREATEDAT,HISTORY.CHANGEDBY.EMPLOYEEID,HISTORY.CHANGEDAT,NAMEID,DESCID,SUPPLIER.PARTNERID,TAXTARIFFCODE,QUANTITYUNIT,WEIGHTMEASURE,WEIGHTUNIT,CURRENCY,PRICE,PRODUCTPICURL,WIDTH,DEPTH,HEIGHT,DIMENSIONUNIT
HT-1137,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000131,1000000132,100000020,1,EA,18,KG,RUB,1230,/sap/hana/democontent/epmNext/data/images/HT-1137.jpg,0.54,0.22,0.38,M
HT-1138,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000133,1000000134,100000021,1,EA,4.2,KG,USD,1211,/sap/hana/democontent/epmNext/data/images/HT-1138.jpg,0.53,0.2,0.44,M
HT-1210,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000135,1000000136,100000022,1,EA,2.3,KG,EUR,2399,/sap/hana/democontent/epmNext/data/images/HT-1210.jpg,0.28,0.31,0.43,M
HT-1500,PR,Workstation ensemble,0000000033,2012-10-03,0000000033,2012-10-03,1000000137,1000000138,100000023,1,EA,18,KG,EUR,5000,/sap/hana/democontent/epmNext/data/images/HT-1500.jpg,0.34,0.35,0.23,M
HT-1501,PR,Workstation ensemble,0000000033,2012-10-03,0000000033,2012-10-03,1000000139,1000000140,100000024,1,EA,25,KG,JPY,15000,/sap/hana/democontent/epmNext/data/images/HT-1501.jpg,0.29,0.3,0.27,M
HT-1502,PR,Workstation ensemble,0000000033,2012-10-03,0000000033,2012-10-03,1000000141,1000000142,100000025,1,EA,35,KG,EUR,25000,/sap/hana/democontent/epmNext/data/images/HT-1502.jpg,0.22,0.27,0.37,M
HT-6130,PR,Flat-screen television,0000000033,2012-10-03,0000000033,2012-10-03,1000000143,1000000144,100000026,1,EA,2.6,KG,EUR,1459,/sap/hana/democontent/epmNext/data/images/HT-6130.jpg,0.78,0.22,0.55,M
HT-6131,PR,Flat-screen television,0000000033,2012-10-03,0000000033,2012-10-03,1000000145,1000000146,100000027,1,EA,2.2,KG,ARS,1199,/sap/hana/democontent/epmNext/data/images/HT-6131.jpg,0.99,0.26,0.61,M
HT-6132,PR,Flat-screen television,0000000033,2012-10-03,0000000033,2012-10-03,1000000147,1000000148,100000028,1,EA,1.8,KG,BRL,899,/sap/hana/democontent/epmNext/data/images/HT-6132.jpg,1.28,0.23,0.79,M
HT-7030,PR,Handheld,0000000033,2012-10-03,0000000033,2012-10-03,1000000149,1000000150,100000029,1,EA,0.5,KG,CAD,2490,/sap/hana/democontent/epmNext/data/images/HT-7030.jpg,0.09,0.15,0.1,M
HT-7020,PR,Handheld,0000000033,2012-10-03,0000000033,2012-10-03,1000000151,1000000152,100000030,1,EA,0.5,KG,CHF,1490,/sap/hana/democontent/epmNext/data/images/HT-7030.jpg,0.07,0.16,0.11,M
HT-7010,PR,Handheld,0000000033,2012-10-03,0000000033,2012-10-03,1000000153,1000000154,100000031,1,EA,0.5,KG,USD,799,/sap/hana/democontent/epmNext/data/images/HT-7010.jpg,0.07,0.15,0.13,M
HT-7000,PR,Handheld,0000000033,2012-10-03,0000000033,2012-10-03,1000000155,1000000156,100000032,1,EA,0.5,KG,EUR,549,/sap/hana/democontent/epmNext/data/images/HT-7000.jpg,0.08,0.13,0.12,M
HT-1095,PR,Headset,0000000033,2012-10-03,0000000033,2012-10-03,1000000157,1000000158,100000033,1,EA,187,G,USD,160,/sap/hana/democontent/epmNext/data/images/HT-1095.jpg,0.24,0.02,0.23,M
HT-1096,PR,Headset,0000000033,2012-10-03,0000000033,2012-10-03,1000000159,1000000160,100000034,1,EA,130,G,JPY,120,/sap/hana/democontent/epmNext/data/images/HT-1096.jpg,0.25,0.02,0.19,M
HT-1097,PR,Headset,0000000033,2012-10-03,0000000033,2012-10-03,1000000161,1000000162,100000035,1,EA,60,G,ARS,56,/sap/hana/democontent/epmNext/data/images/HT-1097.jpg,0.21,0.02,0.2,M
HT-6123,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000163,1000000164,100000036,1,EA,267,G,ZAR,299,/sap/hana/democontent/epmNext/data/images/HT-6123.jpg,0.13,0.02,0.14,M
HT-6122,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000165,1000000166,100000037,1,EA,266,G,USD,167,/sap/hana/democontent/epmNext/data/images/HT-6122.jpg,0.08,0.02,0.08,M
HT-6121,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000167,1000000168,100000038,1,EA,134,G,EUR,63,/sap/hana/democontent/epmNext/data/images/HT-6121.jpg,0.05,0.01,0.09,M
HT-6120,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000169,1000000170,100000039,1,EA,134,G,INR,45,/sap/hana/democontent/epmNext/data/images/HT-6120.jpg,0.05,0.02,0.06,M
HT-6111,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000171,1000000172,100000040,1,EA,3.1,KG,PLN,288,/sap/hana/democontent/epmNext/data/images/HT-6111.jpg,0.38,0.26,0.06,M
HT-6110,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000173,1000000174,100000041,1,EA,2.4,KG,ARS,130,/sap/hana/democontent/epmNext/data/images/HT-6110.jpg,0.37,0.24,0.06,M
HT-6102,PR,Beamer,0000000033,2012-10-03,0000000033,2012-10-03,1000000175,1000000176,100000042,1,EA,2.5,KG,CNY,889,/sap/hana/democontent/epmNext/data/images/HT-6102.jpg,0.3,0.23,0.23,M
HT-6101,PR,Beamer,0000000033,2012-10-03,0000000033,2012-10-03,1000000177,1000000178,100000043,1,EA,2,KG,DKK,679,/sap/hana/democontent/epmNext/data/images/HT-6101.jpg,0.32,0.21,0.18,M
HT-2002,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000179,1000000180,100000044,1,EA,0.72,KG,EUR,853.99,/sap/hana/democontent/epmNext/data/images/HT-2002.JPG,0.21,0.17,0.14,M
HT-6100,PR,Beamer,0000000033,2012-10-03,0000000033,2012-10-03,1000000181,1000000182,100000000,1,EA,1.7,KG,EUR,469,/sap/hana/democontent/epmNext/data/images/HT-6100.jpg,0.18,0.15,0.12,M
HT-2027,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000183,1000000184,100000001,1,EA,0.15,KG,EUR,24.99,/sap/hana/democontent/epmNext/data/images/HT-2027.jpg,0.06,0,0.02,M
HT-2026,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000185,1000000186,100000002,1,EA,0.2,KG,USD,29.99,/sap/hana/democontent/epmNext/data/images/HT-2026.jpg,0.21,0.1,0.13,M
HT-2025,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000187,1000000188,100000003,1,EA,0.65,KG,EUR,44.99,/sap/hana/democontent/epmNext/data/images/HT-2025.jpg,0.67,0.23,0.25,M
HT-2001,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000189,1000000190,100000004,1,EA,0.84,KG,USD,449.99,/sap/hana/democontent/epmNext/data/images/HT-2001.JPG,0.24,0.2,0.29,M
HT-2000,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000191,1000000192,100000005,1,EA,0.79,KG,EUR,249.99,/sap/hana/democontent/epmNext/data/images/HT-2000.JPG,0.21,0.19,0.28,M
HT-1603,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000193,1000000194,100000006,1,EA,6.8,KG,JPY,1700,/sap/hana/democontent/epmNext/data/images/HT-1601.jpg,0.27,0.28,0.42,M
HT-1602,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000195,1000000196,100000007,1,EA,5.9,KG,EUR,1200,/sap/hana/democontent/epmNext/data/images/HT-1602.jpg,0.27,0.34,0.47,M
HT-1601,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000197,1000000198,100000008,1,EA,5.3,KG,MXN,900,/sap/hana/democontent/epmNext/data/images/HT-1601.jpg,0.25,0.32,0.4,M
HT-1600,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000199,1000000200,100000009,1,EA,4.8,KG,ARS,600,/sap/hana/democontent/epmNext/data/images/HT-1600.jpg,0.21,0.29,0.38,M
HT-1119,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000201,1000000202,100000010,1,EA,88,G,USD,79,/sap/hana/democontent/epmNext/data/images/HT-1119.jpg,0.02,0.03,0.04,M
HT-8000,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000203,1000000204,100000011,1,EA,4,KG,EUR,799,/sap/hana/democontent/epmNext/data/images/HT-8000.jpg,0.31,0.19,0.03,M
HT-8001,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000205,1000000206,100000012,1,EA,4.2,KG,GBP,999,/sap/hana/democontent/epmNext/data/images/HT-8001.jpg,0.32,0.2,0.03,M
HT-8002,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000207,1000000208,100000013,1,EA,3.5,KG,EUR,1199,/sap/hana/democontent/epmNext/data/images/HT-8002.jpg,0.38,0.21,0.04,M
HT-8003,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000209,1000000210,100000014,1,EA,3.8,KG,USD,1388,/sap/hana/democontent/epmNext/data/images/HT-8003.jpg,0.48,0.31,0.05,M
AD-1000,AD,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000211,1000000212,100000015,1,EA,0.01,KG,CAD,0,/sap/hana/democontent/epmNext/data/images/AD-1000.jpg,0.46,0.3,0.03,M
